股票代码,股票名称,平均增长率（%）,复合增长率（%）,增长频次
002214,大立科技,-8.34,0.45,25
002215,诺普信i,8.40,-8.61,16
002216,三全食品,292.33,6.52,18
002217,合力泰i,-6.37,14.82,20
002218,拓日新能,-251.07,2.44,16
002219,恒康医疗,11.03,10.30,20
002220,天宝股份,13.98,7.85,25
002221,东华能源,47.98,44.00,21
002222,福晶科技,1.73,1.17,18
002223,鱼跃医疗,7.94,17.30,22
002224,三力士i,248.18,703.65,23
002225,濮耐股份,1.01,1.66,21
002226,江南化工,33.06,7.80,25
002227,奥特迅i,203.38,-0.36,18
002228,合兴包装,6.44,6.46,23
002229,鸿博股份,-2.74,0.96,21
002230,科大讯飞,94.90,-34.36,27
002231,奥维通信,131.58,0.57,17
002232,启明信息,9.03,-0.11,18
002233,塔牌集团,8.62,6.84,22
002234,民和股份,-12.57,5.33,14
002235,安妮股份,292.14,0.82,20
002236,大华股份,-26.50,-778.14,25
002237,恒邦股份,-77.95,2.43,22
002238,天威视讯,2.24,4.61,25
002239,奥特佳i,43.77,8.30,17
002240,威华股份,82.66,-2.04,4
002241,歌尔股份,-211.96,39.56,28
002242,九阳股份,2.91,3.09,22
002243,通产丽星,12.32,0.52,15
002244,滨江集团,225.08,131.91,17
002245,澳洋顺昌,2.59,10.69,23
002246,北化股份,-74.58,3.56,22
002247,帝龙文化,19.21,23.94,20
002248,华东数控,42.28,-13.55,10
002249,大洋电机,3.21,3.52,23
002250,联化科技,3.17,4.71,28
002251,步步高i,12.14,0.91,17
002252,上海莱士,9.96,10.94,25
002253,川大智胜,509.22,-5.84,23
002254,泰和新材,20.45,0.27,15
002255,海陆重工,9.41,2.20,22
002256,兆新股份,-11.93,3.39,16
002258,利尔化学,2.94,1.53,17
002259,升达林业,50.95,0.68,13
002260,德奥通航,-349.25,0.06,13
002261,拓维信息,4.68,3.75,19
002262,恩华药业,5.17,9.46,19
002263,大东南i,-53.96,-0.70,10
002264,新华都i,-44.09,0.85,11
002265,西仪股份,-43.03,-0.17,6
002266,浙富控股,2.63,0.80,16
002267,陕天然气,13.42,2.19,15
002268,卫士通i,-398.36,-4.01,14
002269,美邦服饰,41.80,0.12,15
002270,华明装备,-97.17,4.95,16
002271,东方雨虹,-34.09,22.23,23
002272,川润股份,33.15,0.11,16
002273,水晶光电,7.33,4.85,23
002274,华昌化工,61.20,-1.09,7
002275,桂林三金,5.44,1.94,10
002276,万马股份,39.24,3.47,20
002277,友阿股份,13.22,2.91,9
002278,神开股份,-3.13,-0.79,10
002279,久其软件,-86.49,3.58,14
002280,联络互动,-94.97,14.58,13
002281,光迅科技,6.31,5.79,17
002282,博深工具,66.80,0.57,15
002283,天润曲轴,6.76,2.86,18
002284,亚太股份,4.55,2.84,18
002285,世联行i,-4.98,7.20,20
002286,保龄宝i,-105.66,1.00,16
002287,奇正藏药,5.31,3.43,17
002288,超华科技,15.74,-0.69,14
002289,ST宇顺,-109.86,-5.01,10
002290,禾盛新材,3.42,1.04,15
002291,星期六i,3.03,1.08,15
002292,奥飞娱乐,5.18,6.51,20
002293,罗莱生活,4.52,4.26,22
002294,信立泰i,8.59,24.84,21
002295,精艺股份,8.37,0.41,11
002296,辉煌科技,-41.82,2.36,18
002297,博云新材,245.48,0.27,14
002298,中电鑫龙,113.04,6.23,20
002299,圣农发展,0.81,4.10,14
002300,太阳电缆,4.11,2.15,19
002301,齐心集团,1.67,1.76,15
002302,西部建设,-49.98,8.77,18
002303,美盈森i,4.79,4.84,21
002304,洋河股份,14.08,16.31,15
002305,南国置业,192.97,0.24,11
002306,中科云网,80.14,-0.29,8
002307,北新路桥,-387.31,-0.02,17
002308,威创股份,7.77,1.03,22
002309,中利集团,-77.56,-0.10,15
002310,东方园林,-221.19,24.59,22
002311,海大集团,544.58,16.79,17
002312,三泰控股,-93.14,-15.31,11
002313,日海通讯,38.43,1.57,17
002314,南山控股,-356.50,5.52,9
002315,焦点科技,-18.99,0.23,21
002316,键桥通讯,-47.60,-1.27,18
002317,众生药业,4.62,8.65,18
002318,久立特材,2.99,1.71,14
002319,乐通股份,42.11,0.98,18
002320,海峡股份,9.38,2.54,11
002321,华英农业,-11.95,1.27,10
002322,理工环科,142.77,1.59,20
002323,雅百特i,-4180.76,5.47,15
002324,普利特i,7.45,10.39,17
002325,洪涛股份,4.74,7.62,20
002326,永太科技,-8.55,3.12,13
002327,富安娜i,6.63,6.87,16
002328,新朋股份,-69.78,1.37,16
002329,皇氏集团,11.78,9.92,16
002330,得利斯i,23.12,0.31,9
002331,皖通科技,13.37,4.57,20
002332,仙琚制药,4.29,2.98,21
002333,罗普斯金,-18.24,-0.31,13
002334,英威腾i,11.61,0.84,20
002335,科华恒盛,13.81,4.64,21
002336,ST人乐,134.21,0.02,11
002337,赛象科技,-68.06,-0.10,13
002338,奥普光电,4.05,0.85,17
002339,积成电子,-23.74,4.13,23
002340,格林美i,5.89,6.89,19
002341,新纶科技,-221.05,1.54,13
002342,巨力索具,25.75,0.13,11
002343,慈文传媒,11.70,3.85,14
002344,海宁皮城,23.15,8.80,18
002345,潮宏基i,6.03,7.31,12
002346,柘中股份,222.70,0.02,12
002347,泰尔股份,5.88,0.57,16
002348,高乐股份,2.95,2.04,15
002349,精华制药,5.76,6.45,18
002350,北京科锐,16.28,0.94,19
002351,漫步者i,1.50,0.79,15
002352,顺丰控股,416.75,107.06,16
002353,杰瑞股份,10.06,2.83,20
002354,天神娱乐,232.22,16.60,17
002355,兴民智通,7.24,1.73,14
002356,赫美集团,189.46,7.14,19
002357,富临运业,2.78,2.84,12
002358,森源电气,8.96,10.41,20
002359,齐星铁塔,-36.84,1.81,12
002360,同德化工,16.98,3.70,20
002361,神剑股份,3.80,5.48,19
002362,汉王科技,-5.06,1.42,6
002363,隆基机械,2.74,1.31,11
002364,中恒电气,6.81,7.59,19
002365,永安药业,-47.07,0.89,11
002366,台海核电,12.73,10.74,13
002367,康力电梯,6.65,12.86,22
002368,太极股份,23.59,1.93,15
002369,卓翼科技,-20.67,-0.44,13
002370,亚太药业,9.08,3.40,12
002371,北方华创,-295.60,-8.47,15
002372,伟星新材,13.92,8.96,20
002373,千方科技,-71.37,10.88,13
002374,丽鹏股份,5.45,5.60,16
002375,亚厦股份,4.38,5.02,20
002376,新北洋i,11.20,7.59,21
002377,国创高新,-46.53,-0.13,18
002378,章源钨业,-5.25,-0.74,13
002379,ST鲁丰,90.94,-0.63,9
002380,科远股份,232.28,1.96,18
002381,双箭股份,5.09,2.30,17
002382,蓝帆医疗,11.47,7.03,17
002383,合众思壮,165.44,0.06,9
002384,东山精密,91.43,2.32,17
002385,大北农i,8.96,11.48,17
002386,天原集团,-70.25,0.45,5
002387,黑牛食品,-22.90,-1.42,10
002388,新亚制程,22.24,0.60,16
002389,南洋科技,4.98,4.67,17
002390,信邦制药,26.96,12.30,16
002391,长青股份,5.32,5.54,13
002392,北京利尔,2.31,2.58,16
002393,力生制药,6.48,0.96,10
002394,联发股份,5.23,3.14,20
002395,双象股份,-33.80,2.21,14
002396,星网锐捷,-110.89,4.15,18
002397,梦洁股份,5.10,1.95,13
002398,建研集团,2.71,2.50,22
002399,海普瑞i,15.34,5.22,11
002400,省广股份,8.78,16.45,20
002401,中海科技,2.82,3.71,21
002402,和而泰i,4.99,5.66,19
002403,爱仕达i,-282.59,2.36,13
002404,嘉欣丝绸,8.02,1.65,17
002405,四维图新,-14.68,0.97,17
002406,远东传动,2.57,1.24,13
002407,多氟多i,33.61,9.19,13
002408,齐翔腾达,4.92,4.03,19
002409,雅克科技,1.75,1.50,16
002410,广联达i,33.42,5.76,16
002411,必康股份,-467.13,32.54,14
002412,汉森制药,2.17,2.87,17
002413,雷科防务,4.85,1.71,12
002414,高德红外,-107.38,0.73,15
002415,海康威视,7.68,19.94,23
002416,爱施德i,8.45,2.70,12
002417,三元达i,2.74,-4.05,10
002418,康盛股份,6.36,7.26,14
002419,天虹商场,3.01,2.43,16
002420,毅昌股份,-71.46,-0.84,10
002421,达实智能,13.28,14.09,21
002422,科伦药业,3.96,3.82,18
002423,ST中特,2.22,-1.80,4
002424,贵州百灵,5.45,7.86,17
002425,凯撒文化,899.43,3.01,17
002426,胜利精密,34.32,4.51,16
002427,尤夫股份,0.66,4.52,14
002428,云南锗业,-15.06,-1.40,15
002429,兆驰股份,4.60,2.06,18
002430,杭氧股份,-62.94,-0.06,18
002431,棕榈股份,-137.15,2.51,19
002432,九安医疗,31.54,-3.37,9
002433,太安堂i,6.18,7.73,16
002434,万里扬i,5.80,6.08,17
002435,长江润发,4.38,0.83,15
002436,兴森科技,5.86,3.31,16
002437,誉衡药业,15.81,13.50,19
002438,江苏神通,14.60,1.82,14
002439,启明星辰,-165.19,-1.53,8
002440,闰土股份,6.91,3.14,18
002441,众业达i,2.05,2.37,11
002442,龙星化工,-102.43,0.41,7
002443,金洲管道,20.72,1.66,16
002444,巨星科技,7.76,7.29,17
002445,中南文化,18.21,3.44,14
002446,盛路通信,-18.57,8.48,20
002447,壹桥股份,503.79,2.71,15
002448,中原内配,4.11,3.07,13
002449,国星光电,2.53,2.70,19
002450,康得新i,16.89,148.62,25
002451,摩恩电气,23.52,0.34,13
002452,长高集团,7.49,2.65,14
002453,天马精化,18.19,0.43,18
002454,松芝股份,3.46,1.65,15
002455,百川股份,7.86,1.02,12
002456,欧菲光i,15.08,31.72,18
002457,青龙管业,-25.13,0.46,19
002458,益生股份,-22.44,20.84,10
002459,天业通联,-9.89,-0.39,9
002460,赣锋锂业,13.75,23.52,19
002461,珠江啤酒,-30.48,0.61,15
002462,嘉事堂i,12.37,36.57,19
002463,沪电股份,276.85,1.18,11
002464,金利科技,1.68,2.23,12
002465,海格通信,155.56,1.74,14
002466,天齐锂业,-107.40,40.65,16
002467,二六三i,4.20,0.57,10
002468,申通快递,-596.09,0.17,11
002469,三维工程,7.58,0.81,18
002470,金正大i,7.55,10.38,14
002471,中超控股,11.66,6.68,19
002472,双环传动,3.23,2.77,11
002473,圣莱达i,-15.01,-1.13,10
002474,榕基软件,43.91,0.06,15
002475,立讯精密,13.84,31.87,22
002476,宝莫股份,17.29,0.18,12
002477,雏鹰农牧,-2.47,25.12,12
002478,常宝股份,11.25,0.24,14
002479,富春环保,6.17,8.14,17
002480,新筑股份,-7.14,-2.52,7
002481,双塔食品,6.68,3.81,18
002482,广田集团,13.42,20.26,21
002483,润邦股份,-19.27,2.07,12
002484,江海股份,5.50,5.06,19
002485,希努尔i,33.01,-1.01,12
002486,嘉麟杰i,-17.92,-4.42,12
002487,大金重工,32.95,5.82,16
002488,金固股份,-9.49,-2.80,12
002489,浙江永强,45.89,2.80,13
002490,山东墨龙,-219.96,-0.10,9
002491,通鼎互联,27.61,65.82,16
002492,恒基达鑫,4.54,2.04,14
002493,荣盛石化,204.28,9.17,13
002494,华斯股份,20.68,2.59,16
002495,佳隆股份,3.45,1.72,14
002496,辉丰股份,4.66,3.09,17
002497,雅化集团,10.97,6.41,11
002498,汉缆股份,25.94,2.79,19
002499,科林环保,111.96,0.21,15
002500,山西证券,nan,nan,0
002501,利源精制,9.27,22.19,19
002502,骅威文化,-481.48,10.71,17
002503,搜于特i,13.31,35.69,20
002504,弘高创意,-49.76,24.98,9
002505,大康农业,25.93,-54.09,9
002506,协鑫集成,52.37,7.38,13
002507,涪陵榨菜,6.85,11.40,20
002508,老板电器,8.38,15.81,21
002509,天广中茂,11.40,22.85,18
002510,天汽模i,26.71,1.97,16
002511,中顺洁柔,10.22,10.72,18
002512,达华智能,-42.54,4.03,20
002513,ST蓝丰,5.67,3.20,9
002514,宝馨科技,8.67,4.19,14
002515,金字火腿,-93.81,0.49,11
002516,旷达科技,5.09,5.89,14
002517,恺英网络,1623.64,29.39,13
002518,科士达i,5.71,9.44,20
002519,银河电子,3.63,5.01,21
002520,日发精机,7.86,1.57,10
002521,齐峰新材,12.43,3.51,20
002522,浙江众成,8.99,3.32,16
002523,天桥起重,11.92,3.66,16
002524,光正集团,120.11,-4.29,9
002525,胜景山河,6.27,5.98,3
002526,山东矿机,127.00,-0.66,10
002527,新时达i,131.92,3.22,15
002528,英飞拓i,-34.22,-0.61,12
002529,海源机械,-275.17,-0.01,10
002530,丰东股份,26.97,2.05,15
002531,天顺风能,8.85,11.76,15
002532,新界泵业,7.01,8.75,15
002533,金杯电工,5.74,3.15,17
002534,杭锅股份,10.66,0.93,19
002535,林州重机,-29.39,-1.15,15
002536,西泵股份,-176.59,2.32,12
002537,海立美达,13.58,7.20,13
002538,司尔特i,4.35,4.44,17
002539,云图控股,5.30,2.27,12
002540,亚太科技,3.35,4.67,18
002541,鸿路钢构,8.24,4.40,16
002542,中化岩土,12.67,22.91,19
002543,万和电气,11.77,17.59,12
002544,杰赛科技,20.28,3.53,15
002545,东方铁塔,-27.86,1.18,18
002546,新联电子,7.02,2.41,17
002547,春兴精工,-12.82,4.61,16
002548,金新农i,8.52,6.02,18
002549,凯美特气,49.46,0.12,15
002550,千红制药,5.47,6.92,21
002551,尚荣医疗,6.40,11.48,21
002552,宝鼎科技,46.12,-1.44,9
002553,南方轴承,1.26,2.11,18
002554,惠博普i,20.67,5.83,15
002555,三七互娱,-93.10,59.81,16
002556,辉隆股份,-416.82,0.39,11
002557,洽洽食品,3.11,3.69,15
002558,世纪游轮,-559.79,42.15,14
002559,亚威股份,10.02,2.61,10
002560,通达股份,36.84,1.96,14
002561,徐家汇i,0.94,1.19,13
002562,兄弟科技,-13.79,7.18,17
002563,森马服饰,4.99,3.66,15
002564,天沃科技,2.31,-7.03,13
002565,顺灏股份,9.21,1.17,19
002566,益盛药业,15.90,0.84,13
002567,唐人神i,7.49,5.24,17
002568,百润股份,85.93,-14.87,14
002569,步森股份,185.33,-0.45,13
002570,贝因美i,-9.24,-7.65,14
002571,德力股份,7.25,-1.51,12
002572,索菲亚i,20.88,32.95,20
002573,清新环境,18.19,9.76,17
002574,明牌珠宝,28.47,0.40,9
002575,群兴玩具,-14.55,-0.75,12
002576,通达动力,-346.59,-0.13,12
002577,雷柏科技,-104.05,-0.04,7
002578,闽发铝业,6.37,0.75,15
002579,中京电子,-1564.59,0.54,14
002580,圣阳股份,19.65,2.72,13
002581,未名医药,7.59,12.54,17
002582,好想你i,-393.62,-2.67,12
002583,海能达i,-392.44,2.76,13
002584,西陇科学,5.50,2.41,17
002585,双星新材,28.22,10.32,13
002586,围海股份,20.67,1.68,17
002587,奥拓电子,11.68,3.16,14
002588,史丹利i,6.75,7.54,17
002589,瑞康医药,9.29,22.85,22
002590,万安科技,6.79,3.20,14
002591,恒大高新,11.53,0.20,7
002592,八菱科技,2.10,2.48,13
002593,日上集团,7.91,1.74,10
002594,比亚迪i,78.48,7.22,14
002595,豪迈科技,5.24,7.21,16
002596,海南瑞泽,-144.05,0.72,15
002597,金禾实业,8.77,9.20,14
002598,山东章鼓,2.64,1.19,15
002599,盛通股份,4.59,0.87,12
002600,江粉磁材,16.40,5.99,11
002601,佰利联i,33.57,7.91,14
002602,世纪华通,6.09,8.33,17
002603,以岭药业,8.22,5.44,9
002604,龙力生物,4.37,2.09,8
002605,姚记扑克,4.17,3.54,11
002606,大连电瓷,-3.15,3.20,14
002607,亚夏汽车,-7.75,2.32,7
002608,ST舜船,-21.47,-0.98,8
002609,捷顺科技,74.38,4.99,16
002610,爱康科技,-26.60,2.11,9
002611,东方精工,23.34,5.49,15
002612,朗姿股份,121.53,0.04,11
002613,北玻股份,74.38,0.21,13
002614,蒙发利i,-24.55,2.67,15
002615,哈尔斯i,8.29,7.96,14
002616,长青集团,7.93,3.75,13
002617,露笑科技,-106.71,1.81,13
002618,丹邦科技,10.49,0.62,15
002619,巨龙管业,32.27,13.80,15
002620,瑞和股份,7.25,5.19,12
002621,三垒股份,7.54,0.35,10
002622,融钰集团,10.13,-0.39,14
002623,亚玛顿i,98.50,19.06,10
002624,完美世界,-312.46,39.66,12
002625,龙生股份,10.36,4.49,14
002626,金达威i,11.14,10.54,14
002627,宜昌交运,2.07,1.34,11
002628,成都路桥,-15.30,-1.92,16
002629,仁智股份,-37.83,-1.66,12
002630,华西能源,8.66,3.47,14
002631,德尔未来,5.03,4.01,15
002632,道明光学,7.66,2.98,14
002633,申科股份,-18.46,-0.65,7
002634,棒杰股份,4.80,2.99,13
002635,安洁科技,7.75,9.48,14
002636,金安国纪,8.31,3.81,11
002637,赞宇科技,-354.03,11.83,12
002638,勤上股份,7.40,1.53,14
002639,雪人股份,-81.30,0.41,13
002640,跨境通i,16.35,22.62,17
002641,永高股份,16.43,4.66,16
002642,荣之联i,56.21,3.89,17
002643,万润股份,5.06,4.10,15
002644,佛慈制药,13.97,2.98,15
002645,华宏科技,124.92,2.34,11
002646,青青稞酒,18.47,6.67,9
002647,宏磊股份,-584.71,-1.40,5
002648,卫星石化,-41.61,8.15,12
002649,博彦科技,7.39,6.88,11
002650,加加食品,2.56,2.58,9
002651,利君股份,5.13,0.60,11
002652,扬子新材,8.85,7.86,13
002653,海思科i,8.30,1.74,15
002654,万润科技,31.04,8.72,12
002655,共达电声,-167.91,0.76,16
002656,摩登大道,-156.87,-2.18,9
002657,中科金财,31.75,7.16,11
002658,雪迪龙i,24.42,3.60,16
002659,中泰桥梁,-104.51,-1.80,7
002660,茂硕电源,64.99,2.73,7
002661,克明面业,4.98,4.57,11
002662,京威股份,2.31,2.78,14
002663,普邦股份,33.94,2.54,9
002664,信质电机,11.79,17.52,16
002665,首航节能,-436.41,4.22,15
002666,德联集团,3.08,1.83,15
002667,鞍重股份,120.09,-0.57,10
002668,奥马电器,20.35,8.05,9
002669,康达新材,7.47,2.66,10
002670,国盛金控,-8.29,-3.26,10
002671,龙泉股份,-15.48,1.11,11
002672,东江环保,3.79,3.27,9
002673,西部证券,nan,nan,0
002674,兴业科技,-37.64,0.56,14
002675,东诚药业,8.18,7.78,12
002676,顺威股份,17.20,0.71,10
002677,浙江美大,4.99,3.03,13
002678,珠江钢琴,1.95,2.08,10
002679,福建金森,-59.47,-1.60,13
002680,长生生物,615.44,14.44,8
002681,奋达科技,7.00,5.52,13
002682,龙洲股份,31.64,0.19,8
002683,宏大爆破,8.41,0.92,12
002684,猛狮科技,-48.22,-1.70,7
002685,华东重机,-67.90,0.78,13
002686,亿利达i,8.67,3.72,12
002687,乔治白i,16.36,2.30,11
002688,金河生物,9.70,8.60,11
002689,远大智能,-46.05,0.72,10
002690,美亚光电,14.82,3.71,14
002691,冀凯股份,5.89,0.60,14
002692,睿康股份,7.02,3.73,10
002693,双成药业,0.32,-2.20,11
002694,顾地科技,166.50,0.40,10
002695,煌上煌i,2.62,2.55,12
002696,百洋股份,-29.37,2.80,15
002697,红旗连锁,2.23,1.37,10
002698,博实股份,6.05,1.13,11
002699,美盛文化,65.52,4.04,9
002700,新疆浩源,6.42,6.68,15
002701,奥瑞金i,9.29,13.43,15
002702,海欣食品,-0.87,0.25,11
002703,浙江世宝,2.93,1.19,9
002705,新宝股份,11.00,3.69,9
002706,良信电器,5.22,3.66,11
002707,众信旅游,15.01,13.62,10
002708,光洋股份,0.78,1.16,8
002709,天赐材料,18.13,15.35,12
002710,慈铭体检,16.82,6.29,2
002711,欧浦智网,5.33,5.28,10
002712,思美传媒,18.33,2.83,11
002713,东易日盛,-58.27,5.24,8
002714,牧原股份,13.52,52.33,9
002715,登云股份,-127.28,-0.19,3
002716,金贵银业,8.81,1.75,10
002717,岭南园林,12.28,5.18,12
002718,友邦吊顶,28.14,2.84,10
002719,麦趣尔i,-16.55,1.19,9
002720,宏良股份,25.70,18.77,3
002721,金一文化,10.88,8.47,12
002722,金轮股份,7.98,4.84,9
002723,金莱特i,8.66,0.43,8
002724,海洋王i,49.06,0.15,7
002725,跃岭股份,1.50,1.40,6
002726,龙大肉食,7.01,3.35,7
002727,一心堂i,3.82,3.82,7
002728,特一药业,24.79,1.94,8
002729,好利来i,20.16,0.76,9
002730,电光科技,10.54,1.01,7
002731,萃华珠宝,33.25,2.14,3
002732,燕塘乳业,23.31,2.93,8
002733,雄韬股份,2.57,1.79,10
002734,利民股份,5.78,2.59,5
002735,王子新材,4.40,0.98,7
002736,国信证券,nan,nan,0
002737,葵花药业,35.61,1.32,9
002738,中矿资源,-551.97,1.32,7
002739,万达院线,10.57,7.13,6
002740,爱迪尔i,7.49,0.78,7
002741,光华科技,24.70,1.85,5
002742,三圣股份,1.53,2.35,7
002743,富煌钢构,8.15,1.64,5
002745,木林森i,17.87,6.06,6
002746,仙坛股份,87.65,5.24,4
002747,埃斯顿i,18.81,0.83,7
002748,世龙实业,3.65,2.00,4
002749,国光股份,3.84,2.51,5
002750,龙津药业,0.54,1.41,6
002751,易尚展示,-78.87,-0.20,3
002753,永东股份,73.46,1.96,4
002755,东方新星,-138.81,-0.17,1
002756,永兴特钢,0.36,1.52,7
002757,南兴装备,3.36,2.63,4
002758,华通医药,0.35,1.42,5
002759,天际股份,1.01,1.72,5
002760,凤形股份,48.11,-0.77,4
002761,多喜爱i,122.11,0.33,4
002762,金发拉比,11.84,1.56,8
002763,汇洁股份,12.40,3.71,4
002765,蓝黛传动,72.12,2.49,4
002766,索菱股份,0.84,1.83,5
002767,先锋电子,28.76,1.24,7
002768,国恩股份,8.39,4.17,7
002769,普路通i,-59.29,-12.91,2
002770,科迪乳业,2.90,1.85,5
002771,真视通i,6.71,1.65,4
002772,众兴菌业,57.81,3.64,6
002773,康弘药业,35.28,3.09,7
002775,文科园林,71.65,2.65,8
002776,柏堡龙i,0.94,2.02,5
002777,久远银海,35.37,1.34,5
002778,高科石化,2.92,1.10,5
002779,中坚科技,1.20,1.52,6
002780,三夫户外,64.65,1.78,5
002781,奇信股份,91.46,2.15,6
002782,可立克i,79.18,2.56,5
002783,凯龙股份,85.56,1.73,5
002785,万里石i,24.94,1.28,5
002786,银宝山新,inf,2.66,4
002787,华源控股,4.03,3.64,6
002788,鹭燕医药,1.71,2.56,3
002789,建艺集团,1.31,2.27,3
002790,瑞尔特i,2.27,3.09,6
002791,坚朗五金,114.91,2.79,3
002792,通宇通讯,38.74,7.62,3
002793,东音股份,8.24,5.13,3
002795,永和智控,1.59,2.44,2
002796,世嘉科技,4.03,2.23,4
002797,第一创业,nan,nan,0
002798,帝王洁具,-39.95,1.06,3
002799,环球印务,141.64,1.37,3
002800,天顺股份,3.20,2.44,5
002801,微光股份,2.26,3.83,3
002802,洪汇新材,3.22,3.36,3
002803,吉宏股份,12.74,2.92,3
002805,丰元股份,4.45,2.18,3
002806,华锋股份,22.61,2.87,3
002807,江阴银行,nan,nan,0
002808,苏州恒久,20.50,7.55,5
002809,红墙股份,1.60,3.63,3
002810,山东赫达,1.26,2.69,2
002811,亚泰国际,0.31,3.21,3
002812,创新股份,0.34,3.65,3
002813,路畅科技,9.05,2.01,3
002815,崇达技术,16.36,7.98,4
002816,和科达i,4.69,1.96,3
002817,黄山胶囊,1.10,3.94,3
002818,富森美i,4.77,5.81,3
002819,东方中科,14.77,2.93,3
002820,桂发祥i,0.17,3.48,3
002821,凯莱英i,17.50,12.11,4
002822,中装建设,1.28,3.86,3
002823,凯中精密,135.70,38.54,4
002824,和胜股份,9.05,7.11,3
002825,纳尔股份,4.21,5.58,4
002826,易明医药,170.45,104.92,4
002827,高争民爆,4.70,5.97,4
002828,贝肯能源,129.43,1.13,3
002829,星网宇达,9.75,2.84,3
002830,名雕股份,13.46,1.58,3
002831,裕同科技,16.90,8.30,3
002832,比音勒芬,2.36,6.87,3
002833,弘亚数控,8.18,6.49,3
002835,同为股份,146.28,23.64,2
002836,新宏泽i,3.35,2.16,3
002837,英维克i,102.88,52.58,4
002838,道恩股份,5.50,6.03,3
002840,华统股份,4.19,4.78,2
002841,视源股份,22.33,14.91,4
002842,翔鹭钨业,150.41,37.25,3
002843,泰嘉股份,3.32,2.22,3
002845,同兴达i,7.79,1.67,2
002846,英联股份,1.11,3.54,5
002847,盐津铺子,4.56,4.13,2
002848,高斯贝尔,13.40,3.15,3
002849,威星智能,7.24,16.80,2
002850,科达利i,30.00,30.67,2
002851,麦格米特,49.80,44.51,2
002852,道道全i,3.62,14.51,2
002853,皮阿诺i,3.52,14.51,2
002855,捷荣技术,23.19,4.19,1
002856,美芝股份,2.16,12.93,2
300001,特锐德i,10.79,11.18,22
300002,神州泰岳,-43.77,3.38,17
300003,乐普医疗,4.86,7.55,16
300004,南风股份,7.44,2.00,16
300005,探路者i,7.67,6.96,16
300006,莱美药业,-3.00,2.76,17
300007,汉威电子,21.17,4.87,23
300008,天海防务,32.08,6.50,19
300009,安科生物,8.21,9.41,22
300010,立思辰i,133.85,2.23,19
300011,鼎汉技术,-6.45,2.09,21
300012,华测检测,2.70,4.06,22
300013,新宁物流,246.10,0.45,17
300014,亿纬锂能,8.35,13.31,22
300015,爱尔眼科,7.33,20.53,24
300016,北陆药业,3.02,3.73,17
300017,网宿科技,10.74,46.51,28
300018,中元股份,12.89,2.64,21
300019,硅宝科技,9.20,6.95,18
300020,银江股份,8.12,7.18,18
300021,大禹节水,-12.97,2.00,16
300022,吉峰农机,-73.93,3.50,14
300023,宝德股份,59.83,13.29,12
300024,机器人i,7.94,10.76,20
300025,华星创业,37.73,4.70,20
300026,红日药业,7.91,18.78,20
300027,华谊兄弟,34.99,4.21,14
300028,金亚科技,14.14,0.08,15
300029,天龙光电,11.94,-0.65,8
300030,阳普医疗,13.65,1.66,22
300031,宝通科技,5.84,8.14,20
300032,金龙机电,-76.66,9.32,14
300033,同花顺i,23.82,25.05,16
300034,钢研高纳,2.52,4.18,19
300035,中科电气,12.48,1.05,18
300036,超图软件,44.01,2.84,14
300037,新宙邦i,8.60,11.83,24
300038,梅泰诺i,31.66,9.45,21
300039,上海凯宝,4.99,9.26,20
300040,九洲电气,180.18,1.54,16
300041,回天新材,5.37,3.90,14
300042,朗科科技,-26.74,1.92,21
300043,星辉娱乐,10.56,16.18,17
300044,赛为智能,42.80,0.14,20
300045,华力创通,50.51,1.11,16
300046,台基股份,4.28,1.61,12
300047,天源迪科,80.93,0.27,21
300048,合康新能,30.65,19.53,19
300049,福瑞股份,13.87,4.71,19
300050,世纪鼎利,-15.72,6.43,20
300051,三五互联,-4.63,2.37,13
300052,中青宝i,-92.51,-1.07,12
300053,欧比特i,6.59,2.41,17
300054,鼎龙股份,7.68,20.61,21
300055,万邦达i,35.84,67.64,20
300056,三维丝i,-34.58,11.90,18
300057,万顺股份,3.14,1.52,19
300058,蓝色光标,10.06,12.03,19
300059,东方财富,-290.93,-18.60,12
300061,康耐特i,-5.20,6.87,17
300062,中能电气,10.18,2.80,19
300063,天龙集团,21.82,8.51,16
300064,豫金刚石,6.82,8.19,17
300065,海兰信i,184.82,7.50,14
300066,三川智慧,9.42,3.26,21
300067,安诺其i,6.50,3.13,16
300068,南都电源,7.94,5.23,19
300069,金利华电,17.27,2.76,10
300070,碧水源i,112.70,10.24,16
300071,华谊嘉信,11.48,9.91,19
300072,三聚环保,37.49,177.07,21
300073,当升科技,-197.15,5.66,10
300074,华平股份,-102.41,-0.87,15
300075,数字政通,-141.29,4.51,17
300076,GQY视,-210.27,-0.15,15
300077,国民技术,-293.36,0.94,11
300078,思创医惠,3.81,3.73,17
300079,数码视讯,5.77,2.47,18
300080,易成新能,22.14,3.88,14
300081,恒信移动,-9.69,-1.59,7
300082,奥克股份,-169.17,2.44,16
300083,劲胜精密,-12.97,4.19,16
300084,海默科技,3.33,0.19,17
300085,银之杰i,376.19,6.35,17
300086,康芝药业,-12.94,0.93,19
300087,荃银高科,-101.29,-1.62,12
300088,长信科技,8.55,10.77,21
300089,文化长城,8.69,2.31,15
300090,盛运环保,20.53,11.91,15
300091,金通灵i,181.95,3.34,16
300092,科新机电,13.52,0.56,10
300093,金刚玻璃,-20.26,0.32,15
